epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,157.657,0.42057,0.88658,0.48107,0.33393,0.96665,0.99865,0.97297,0.98951,0.92236,0.94308,0.91892,0.93389,0.88636,0.42557,0.92628,0.45726,0.47687,0.96334,0.0005546,0.0005546,0.0005546
75,159.738,0.39353,0.80297,0.50254,0.31601,0.95035,0.99776,0.97297,0.99447,0.91787,0.94229,0.91892,0.94892,0.91037,0.3992,0.75722,0.4599,0.39773,0.95691,0.0005348,0.0005348,0.0005348
76,161.921,0.40433,0.84564,0.49478,0.35523,0.98414,1,0.99951,0.995,0.90823,0.94593,0.9457,0.95348,0.91405,0.41782,0.81468,0.47527,0.36219,0.96439,0.000515,0.000515,0.000515
77,164.114,0.39414,0.98675,0.49761,0.3349,0.96335,1,0.99815,0.995,0.91164,0.99505,0.91892,0.95299,0.91819,0.41445,0.86008,0.48125,0.37465,0.95699,0.0004952,0.0004952,0.0004952
78,166.31,0.39794,0.96184,0.4961,0.3337,0.96784,0.99911,0.97297,0.99397,0.91224,0.99245,0.91892,0.94872,0.91341,0.40184,0.88767,0.47766,0.4131,0.94356,0.0004754,0.0004754,0.0004754
79,168.43,0.38837,0.80799,0.48901,0.30819,0.9613,0.99856,0.97297,0.9935,0.9149,0.99171,0.91892,0.92556,0.91511,0.40656,0.91153,0.46794,0.43317,0.93715,0.0004556,0.0004556,0.0004556
80,170.643,0.42572,0.85327,0.47694,0.36174,0.94957,0.99793,0.97297,0.98754,0.91293,0.96474,0.91892,0.92578,0.91201,0.38011,0.9198,0.45068,0.48638,0.92584,0.0004358,0.0004358,0.0004358
81,172.79,0.38295,0.85233,0.45911,0.31253,0.95045,0.99795,0.97297,0.98287,0.9131,0.96065,0.91892,0.92578,0.90906,0.37045,0.98339,0.44888,0.53137,0.92382,0.000416,0.000416,0.000416
82,174.895,0.37046,0.94765,0.49782,0.32747,0.93861,0.99792,0.97297,0.98381,0.91785,0.98104,0.91892,0.92409,0.88228,0.36897,0.95306,0.42223,0.49997,0.92728,0.0003962,0.0003962,0.0003962
83,177.136,0.36262,0.79012,0.45023,0.28565,0.94795,0.99444,0.97297,0.98798,0.92229,0.9829,0.91892,0.9392,0.87335,0.39492,0.89963,0.40866,0.47997,0.94355,0.0003764,0.0003764,0.0003764
84,180.005,0.35978,0.71438,0.47215,0.29965,0.94009,0.9893,0.97297,0.9887,0.92551,0.97577,0.91892,0.94067,0.89891,0.38847,0.78989,0.40852,0.47125,0.93677,0.0003566,0.0003566,0.0003566
85,182.901,0.41121,0.92395,0.49335,0.31385,0.96934,0.98899,0.97297,0.98923,0.92534,0.9723,0.91892,0.94184,0.90693,0.3761,0.75434,0.41033,0.45963,0.92918,0.0003368,0.0003368,0.0003368
86,185.735,0.36688,0.67247,0.47145,0.29578,0.94933,0.99625,0.97297,0.99144,0.92556,0.94365,0.91892,0.94407,0.9018,0.37349,0.70299,0.40386,0.43123,0.92747,0.000317,0.000317,0.000317
